subject,body,label
Weekly Team Meeting Agenda,"Hi team, please find the agenda for our weekly meeting attached. We will discuss project milestones and upcoming deadlines.",legitimate
Project Status Report Q4 2024,"Dear stakeholders, enclosed is the quarterly project status report. The project is currently 75% complete and on track for December delivery.",legitimate
Invoice #INV-2024-001,Thank you for your business. Your invoice for services rendered is now available for download from the client portal.,legitimate
Software Update Notification,A new security update is available for your application. Please update at your earliest convenience to ensure optimal performance and security.,legitimate
Office Holiday Schedule,Please be informed of the upcoming office closures for the holiday season. The office will be closed from December 25th to January 1st.,legitimate
Welcome to the New Project Team,"Hello everyone, welcome to the new project team. Our kickoff meeting will be held next Monday at 10 AM in Conference Room B.",legitimate
Monthly Newsletter - November 2024,"Dear subscribers, here is your monthly newsletter featuring company updates, industry news, and upcoming events.",legitimate
Training Session: Advanced Security Features,We are hosting a training session on advanced security features next Friday. Please RSVP by Wednesday if you plan to attend.,legitimate
URGENT: Your Account Will Be Suspended,"Dear user, we detected suspicious activity on your account. Click here immediately to verify your identity: http://fake-security-login.com",phishing
Password Reset Required Immediately,Your password has been compromised. You must reset it within 24 hours or your account will be permanently locked. Reset now: http://password-reset-fake.net,phishing
You Won a $1000 Gift Card!,Congratulations! You have been selected to receive a $1000 Amazon gift card. Click to claim your prize: http://free-gift-scam.com,phishing
Security Alert: Unusual Login Detected,"We noticed a login from unrecognized device. Verify if this was you: http://security-verification-fake.com. If not, secure your account now.",phishing
Payment Failed - Update Your Billing Information,Your recent payment could not be processed. Update your billing information immediately to avoid service interruption: http://billing-update-scam.com,phishing
Your Subscription Will Be Canceled,We are unable to process your payment. Your subscription will be canceled unless you update your payment method now: http://payment-update-scam.com,phishing
Account Verification Required,"To prevent your account from being deleted, you must verify your email address within 48 hours: http://account-verify-scam.com",phishing
Important Security Update Required,A critical security update is required for your account. Click here to apply the update immediately: http://fake-security-update.com,phishing
